onetCode,occupation,education,source
25-2032.00,Career/Technical Education Teachers Secondary School,Bachelor's degree,BLS Data
25-2051.00,Special Education Teachers Preschool,Bachelor's degree,BLS Data
25-2055.00,Special Education Teachers Kindergarten,Bachelor's degree,SOC Broad Occupation Group
25-2056.00,Special Education Teachers Elementary School,Bachelor's degree,SOC Broad Occupation Group
25-2057.00,Special Education Teachers Middle School,Bachelor's degree,BLS Data
25-2058.00,Special Education Teachers Secondary School,Bachelor's degree,BLS Data
25-2059.00,Special Education Teachers All Other,Bachelor's degree,BLS Data
25-2059.01,Adapted Physical Education Specialists,Bachelor's degree,BLS Data
25-3011.00,Adult Basic Education Adult Secondary Education and English as a Second Language Instructors,Bachelor's degree,BLS Data
25-3031.00,Substitute Teachers Short-Term,Bachelor's degree,BLS Data
25-3099.00,Teachers and Instructors All Other,Bachelor's degree,BLS Data
25-4011.00,Archivists,Master's degree,BLS Data
25-4012.00,Curators,Master's degree,BLS Data
25-4013.00,Museum Technicians and Conservators,Bachelor's degree,BLS Data
25-4022.00,Librarians and Media Collections Specialists,Master's degree,BLS Data
25-9021.00,Farm and Home Management Educators,Master's degree,BLS Data
25-9031.00,Instructional Coordinators,Master's degree,BLS Data
25-9044.00,Teaching Assistants Postsecondary,Bachelor's degree,BLS Data
25-9099.00,Educational Instruction and Library Workers All Other,Bachelor's degree,BLS Data
27-1011.00,Art Directors,Bachelor's degree,BLS Data
27-1013.00,Fine Artists Including Painters Sculptors and Illustrators,Bachelor's degree,BLS Data
27-1014.00,Special Effects Artists and Animators,Bachelor's degree,BLS Data
27-1021.00,Commercial and Industrial Designers,Bachelor's degree,BLS Data
27-1022.00,Fashion Designers,Bachelor's degree,BLS Data
27-1024.00,Graphic Designers,Bachelor's degree,BLS Data
27-1025.00,Interior Designers,Bachelor's degree,BLS Data
27-1027.00,Set and Exhibit Designers,Bachelor's degree,BLS Data
27-1029.00,Designers All Other,Bachelor's degree,BLS Data
27-2012.00,Producers and Directors,Bachelor's degree,BLS Data
27-2012.03,Media Programming Directors,Bachelor's degree,BLS Data
27-2012.04,Talent Directors,Bachelor's degree,BLS Data
27-2012.05,Media Technical Directors/Managers,Bachelor's degree,BLS Data
27-2022.00,Coaches and Scouts,Bachelor's degree,BLS Data
27-2041.00,Music Directors and Composers,Bachelor's degree,BLS Data
27-3011.00,Broadcast Announcers and Radio Disc Jockeys,Bachelor's degree,BLS Data
27-3023.00,News Analysts Reporters and Journalists,Bachelor's degree,BLS Data
27-3031.00,Public Relations Specialists,Bachelor's degree,BLS Data
27-3041.00,Editors,Bachelor's degree,BLS Data
27-3042.00,Technical Writers,Bachelor's degree,BLS Data
27-3043.00,Writers and Authors,Bachelor's degree,BLS Data
27-3043.05,Poets Lyricists and Creative Writers,Bachelor's degree,BLS Data
27-3091.00,Interpreters and Translators,Bachelor's degree,BLS Data
27-4031.00,Camera Operators Television Video and Film,Bachelor's degree,BLS Data
27-4032.00,Film and Video Editors,Bachelor's degree,BLS Data
29-1011.00,Chiropractors,Doctoral or professional degree,BLS Data
29-1021.00,Dentists General,Doctoral or professional degree,BLS Data
29-1022.00,Oral and Maxillofacial Surgeons,Doctoral or professional degree,BLS Data
29-1023.00,Orthodontists,Doctoral or professional degree,BLS Data
